1,JXH,Hernandez and Sons,Euronext,2024-01-26 03:56:07
2,WJS,Williams LLC,Euronext,2019-12-02 19:21:36
3,JXF,"Chambers, Bond and White",NASDAQ,2018-12-27 06:17:33
4,CWO,"Payne, White and Weaver",Euronext,2015-02-04 10:55:56
5,AYG,"Andrews, Davis and Anthony",Euronext,2018-03-15 05:03:29
6,CEN,Martinez Inc,NASDAQ,2019-07-17 10:15:31
7,FWF,Wang LLC,NASDAQ,2019-10-24 21:51:36
8,ENJ,Howard Inc,NYSE,2023-05-20 01:06:03
9,QVI,Holland-Adams,NASDAQ,2020-06-26 00:19:40
10,UVP,Patterson Ltd,Euronext,2019-05-27 05:42:20
11,ECQ,Young and Sons,Euronext,2023-12-05 16:57:25
12,BXC,"Lowery, Peters and Allen",Euronext,2016-11-01 18:25:32
13,EZJ,Wilson PLC,NASDAQ,2017-01-08 03:52:43
14,QHL,Martinez-Williams,NASDAQ,2017-08-08 20:12:06
15,UOY,Barron-Rivas,NASDAQ,2023-09-07 17:10:23
16,QAU,Bruce-Mcintyre,NYSE,2019-08-11 21:48:31
17,EVM,Rodriguez-Jordan,Euronext,2022-04-08 07:00:59
18,WYA,Watson PLC,NYSE,2020-03-11 10:34:54
19,PDY,Martinez-Peck,NASDAQ,2019-02-27 20:41:02
20,XKN,Walton and Sons,NASDAQ,2023-02-05 23:26:51
21,GLA,"Williamson, Maynard and Becker",NASDAQ,2015-06-15 00:05:39
22,KHX,Mcdonald PLC,Euronext,2020-11-22 13:07:33
23,QFL,Ingram Inc,NYSE,2019-07-29 13:53:19
24,KDL,Cortez and Sons,NASDAQ,2018-01-20 11:46:42
25,ZJV,"Vance, Rosario and Christian",NASDAQ,2020-08-11 11:14:06
26,RAX,Boyle and Sons,NYSE,2018-05-02 16:25:17
27,RSN,Baker-Middleton,NASDAQ,2021-09-28 12:27:50
28,SVN,Gross and Sons,NYSE,2019-09-10 07:09:29
29,PDL,Hood-Kline,NYSE,2022-07-29 13:30:35
30,BQW,Murillo-Bishop,NYSE,2016-06-10 02:01:43
31,NUE,"Crawford, Davis and Todd",NASDAQ,2019-09-27 14:33:05
32,LIZ,"Burton, Michael and Perkins",NASDAQ,2020-10-21 04:56:05
33,MZT,"Dunn, Morales and Hayes",NASDAQ,2018-08-26 05:04:18
34,WZB,Hahn-Howe,Euronext,2022-09-06 10:13:26
35,NHS,Flowers-Flowers,Euronext,2022-10-03 16:43:21
36,FZH,"Perez, Noble and Brown",Euronext,2019-06-30 05:31:21
37,VTE,Adams Ltd,NYSE,2020-06-26 11:44:28
38,BMC,Ramsey-Grimes,NYSE,2023-01-03 10:43:10
39,WUJ,Bright-Smith,Euronext,2021-09-20 23:36:54
40,VED,Santana-King,NASDAQ,2021-04-29 00:17:39
41,IFS,Berg-Garcia,Euronext,2022-10-21 09:58:33
42,PLA,Morrison-Cruz,NASDAQ,2020-10-20 18:46:33
43,WOU,Ho-Bennett,Euronext,2023-04-20 20:55:18
44,MOC,Thompson-Lara,NASDAQ,2022-04-15 13:23:03
45,ZAL,"Romero, Jackson and Gonzales",NYSE,2019-07-21 02:23:01
